item|id|lat|lon|code|label|work
1|43053550|55.8324250|37.4715318|||
2|51465482|55.8076142|37.5153767|||
3|100749002|55.7796380|37.6254873|||
4|248870901|55.7415313|37.9950428|||
5|250634458|55.6885521|37.9928217|||
6|253485484|55.7462266|37.6621518|||
7|253770286|55.7486622|37.4256698|||
8|253770481|55.7673451|37.4285200|||
9|253771038|55.7584985|37.4211246|||
10|254107887|55.7226886|37.6697385|||
11|254431782|55.7171156|37.8563321|||
12|259236576|55.5970366|37.4573033|||
13|260677711|55.5850528|37.5457194|||
14|260677974|55.5856798|37.5457527|||
15|260677975|55.5847618|37.5465004|||
16|262104854|55.9692834|38.0246346|||
17|262499847|55.8869182|38.1004102|||
18|266026097|55.7973713|37.5917614|||
19|266449016|55.7135794|37.3065624|||
20|266449075|55.7171464|37.2826415|||
21|267576648|55.6787815|37.8529638|||
22|267576650|55.6797230|37.8509019|||
23|268105417|55.8348181|37.2652711|||
24|271272772|55.8218744|37.8578396|||
25|272524744|55.6333114|37.9054206|||
26|272607184|55.7109802|37.6322211|||
27|273187420|55.7347742|37.3359940|||
28|277510723|55.4532525|37.3912541|||
29|277536036|55.4410074|37.4805309|||
30|277536037|55.4415061|37.4755357|||
31|279455865|55.7469553|37.5469688|||
32|280312638|55.7023535|37.5224461|||
33|287267386|55.8568848|37.6292322|||
34|287507505|55.7573412|38.0693766|||
35|293122892|56.0005160|37.5996812|||
36|294592161|55.5977201|37.5579037|||
37|303924929|55.8868422|37.6742665|||
38|304145759|55.7583714|37.4325637|||
39|304335405|55.7160107|37.4421228|||
40|304383496|55.7333286|37.5181923|||
41|304883588|55.7979672|37.5951489|||
42|305223465|55.8015173|37.4775948|||
43|305367853|55.8096879|37.4799383|||
44|305933617|55.9287460|38.1238152|||
45|305933622|55.9231935|38.1297549|||
46|307995913|55.8507537|37.3605766|||
47|308935512|55.6681428|37.6622348|||
48|309081815|55.4543867|38.1636114|||
49|309935167|55.7925585|37.4087576|||
50|310588214|55.7493571|37.7291093|||
51|311081779|55.8842919|37.8445085|||
52|311103353|55.6368760|37.9572061|||
53|317208755|55.8269902|37.6407102|||
54|319705182|55.8878291|37.4318524|||
55|321822065|55.6565420|37.5308815|||
56|322114314|55.6821697|37.4862003|||
57|330778786|55.7987432|37.5949316|||
58|331121854|55.6634915|37.3635459|||
59|332060866|55.6133741|37.5381113|||
60|332234218|55.8960926|37.4611989|||
61|333316504|55.5313479|37.4959056|||
62|334729244|55.7207728|37.8607650|||
63|335131313|55.6048614|37.2915208|||
64|338516730|55.6296714|37.3716704|||
65|338516756|55.6361933|37.3707051|||
66|340482971|55.8518316|37.4675856|||
67|345667865|55.6711099|37.7867698|||
68|347399198|55.6801330|37.1682399|||
69|350263892|55.9002141|37.8577643|||
70|352983736|55.8468469|37.3582833|||
71|358360414|55.8358102|37.9879889|||
72|360915770|55.8906787|37.6895694|||
73|364662696|55.9092465|37.9028655|||
74|366131690|55.9192703|37.8679200|||
75|366131695|55.9185066|37.8678032|||
76|367641572|55.9260698|38.0435684|||
77|367641603|55.9257367|38.0462628|||
78|370824035|55.7056792|37.6224811|||
79|376912671|55.7330246|37.3864735|||
80|376915091|55.7325436|37.3854626|||
81|389053127|55.5836172|38.1236487|||
82|389053151|55.5877064|38.1194839|||
83|389995644|55.6459622|38.1244367|||
84|389995764|55.5966142|38.1171298|||
85|392921210|55.6157510|38.1027974|||
86|400681075|55.8083325|37.5121734|||
87|400681078|55.8073873|37.5115007|||
88|410576679|55.8845461|38.1154030|||
89|410576743|55.8780596|38.1006139|||
90|410576765|55.8855392|38.0981459|||
91|411140717|56.0155855|37.8120022|||
92|411259935|55.6622728|37.7915714|||
93|411304910|55.8882701|37.6629128|||
94|411305484|55.8894430|37.6624881|||
95|411305485|55.8890935|37.6624802|||
96|411429505|55.9251007|37.8302124|||
97|411526092|55.9079790|37.8917498|||
98|413021860|55.5768511|37.6179985|||
99|413051984|56.0112686|37.5315943|||
100|415437819|56.0273957|37.8338342|||
101|416497544|55.7507303|37.7084637|||
102|418126548|55.7079998|37.6227050|||
103|419745758|55.9197898|37.8069949|||
104|420011032|55.9648810|37.9780029|||
105|420019129|55.9482188|37.9884612|||
106|421419552|55.8527751|37.4071735|||
107|423054350|55.5980904|37.1904808|||
108|424239260|55.7056260|37.5598698|||
109|424239269|55.7020759|37.5490781|||
110|424996634|55.8642900|37.6691047|||
111|425016740|55.8975546|37.8740691|||
112|425864913|55.9868732|37.2069391|||
113|428606849|55.7032936|37.5564829|||
114|428920000|55.8600767|37.4769431|||
115|428921927|55.5889921|38.0981387|||
116|429832450|55.8249464|37.8850330|||
117|429856600|55.9825396|37.2087211|||
118|430125688|55.9213551|38.0809994|||
119|430378400|55.8954740|37.8981952|||
120|430598537|55.7444867|37.2451559|||
121|433221477|55.6444233|37.8290970|||
122|433221489|55.6457629|37.8351022|||
123|433221490|55.6458792|37.8332779|||
124|436227179|55.6829781|37.8759113|||
125|437984007|55.7113183|37.5011714|||
126|438437103|55.5842747|38.1651795|||
127|442887416|55.7754869|37.4331762|||
128|442887458|55.7455064|37.5162999|||
129|443702905|55.9035780|37.1029682|||
130|444347229|55.6216872|37.6825643|||
131|444863738|55.8336181|37.6488311|||
132|444948461|55.9994852|37.6369367|||
133|445731059|55.9961488|37.2107244|||
134|446058287|55.6307485|37.6130072|||
135|446140746|55.8133742|37.3841094|||
136|458254952|55.6379576|37.5203131|||
137|459514674|55.7489939|37.4354022|||
138|460352043|55.8182349|37.7925364|||
139|460352044|55.8191023|37.7924194|||
140|460354310|55.6538316|37.6362929|||
141|462887919|55.7569962|37.5583182|||
142|462887928|55.7571868|37.5581018|||
143|465189928|55.8850565|37.6008302|||
144|465198345|55.6816330|37.0801374|||
145|465198348|55.6815768|37.0802587|||
146|469735867|55.6397098|37.4152388|||
147|470245255|55.4489579|37.6206044|||
